Tweet Id,Date,Hour,User Name,Nickname,Bio,Tweet content,Favs,RTs,Latitude,Longitude,Country,Place (as appears on Bio),Profile picture,Followers,Following,Listed,Tweet language (ISO 639-1),Tweet Url,Is a RT,Original Tweet User Name,User Mentions,Hashtags,Symbols,Media,URLs,Negative,Neutral,Positive,Compound
1105362196651864064 ,2019-03-12,06:57,Ravi Garg,RaviGar71007100,A true Indian.I take full responsibility of my tweets.Fighting with Haryana govt who has taken my 2 residential plot.,RT @arti_agarwal: We do boycott you. We did not invite you. YOU invaded us. Now you want to multiply here &amp; threaten our existence. PLEASE…,,1563,28.63576,77.22445,IN, India(RT not endorsement),http://pbs.twimg.com/profile_images/1072112192642793472/_kWAZHzn_normal.jpg,3092,3356,1,en,http://www.twitter.com/RaviGar71007100/status/1105362196651864064,TRUE,@arti_agarwal,@arti_agarwal,,,,,0.221,0.733,0.045,-0.6179
1105362189421084673 ,2019-03-12,06:57,soyeb_patel????????,soyeb_patel,Hero HinduStani....,RT @farah17khan: #SurfExcel ????? ???? ??? ?? ?? ?? ?? ?????? ? ??? ?? ‘??’?????? ????? ?? ‘??’ ???? ?? ??????? ?? ??? ???? ?? ??? ?? ???…,,5,53.48095,-2.23743,GB,Manchester (United Kingdom),http://pbs.twimg.com/profile_images/378800000805314978/6d480e8edb69aef575900164c0236ccb_normal.jpeg,543,1070,17,es,http://www.twitter.com/soyeb_patel/status/1105362189421084673,TRUE,@farah17khan,@farah17khan,#SurfExcel,,,,0.0,1.0,0.0,0.0
1105362171859427328 ,2019-03-12,06:57,Frustrated Indian,Frustra70253735,,"#halfdick terrorist people dont even spare their sisters, useless ugly religion

#terroristan 

#SurfExcel",,,23.02579,72.58726,IN,Ahmedabad,http://pbs.twimg.com/profile_images/1040238200432734208/Eb8U4cCv_normal.jpg,6,46,,en,http://www.twitter.com/Frustra70253735/status/1105362171859427328,FALSE,,,"#halfdick,#terroristan,#SurfExcel",,,,0.519,0.481,0.0,-0.8957
1105362166616449024 ,2019-03-12,06:57,?????? ??????,aaryabhartiy,"nationalist , strategical thinker and I block for abuse n mute for stupidity. I am not here for followers or RTs",RT @arti_agarwal: We do boycott you. We did not invite you. YOU invaded us. Now you want to multiply here &amp; threaten our existence. PLEASE…,,1563,,,,,http://pbs.twimg.com/profile_images/946982646290063361/E65oNUoS_normal.jpg,180,528,1,en,http://www.twitter.com/aaryabhartiy/status/1105362166616449024,TRUE,@arti_agarwal,@arti_agarwal,,,,,0.221,0.733,0.045,-0.6179
1105362165022773248 ,2019-03-12,06:57,Indrani ???? Bharat Mata ki Jai Vandematarm ????,pandey_indrani,"Proud Mother..Proud Hindu.. Proud of Being Namo Bhakt..???? ?? ??? ??? ????? ?? ???? ???? ?????? ?? ???? ??? ??? 
?? ???? ???
????????? ??","RT @Payal_Rohatgi: #MehboobaMufti ???? ?? ?? ?? ????? ?? #SurfExcel ?? ???? ????????, ???? ??? #????????? ????? suicide bombing ?? ???????…",,250,28.63576,77.22445,IN,India,http://pbs.twimg.com/profile_images/1103263600834154496/7xVOPhhG_normal.jpg,11571,2306,14,es,http://www.twitter.com/pandey_indrani/status/1105362165022773248,TRUE,@Payal_Rohatgi,@Payal_Rohatgi,"#MehboobaMufti,#SurfExcel,#?????????",,,,0.184,0.816,0.0,-0.6705
1105362145363996672 ,2019-03-12,06:57,Aijaz Khan 'Shanu'????,AijazKh1990,"???????? ???????? ???????? ??????
????? ??????????? '?????? ???? ??? ?????? ???? ?? ??? ???? ????'.??
**?????????????????? ???? ???????????**","RT @tijare_pratik: Bina #SurfExcel k dhoya hai bhai..??
 EXCELlent as always @kunalkamra88 ????

#DemonetisationYaadRakhna https://t.co/PeuoDL…",,497,25.44894,81.83328,IN,"Allahabad, India",http://pbs.twimg.com/profile_images/1091015805024710657/323VgeRZ_normal.jpg,127,218,,en,http://www.twitter.com/AijazKh1990/status/1105362145363996672,TRUE,@tijare_pratik,"@tijare_pratik,@kunalkamra88","#SurfExcel,#DemonetisationYaadRakhna",,,,0.0,0.778,0.222,0.5719
1105362130058924037 ,2019-03-12,06:57,Insha A Chauhan,abumushir2013,Male,RT @Vakeel_Sb: Is it just me who thinks #SurfExcel holi advertisement has more of a  brother and sister relationship angle than a romantic…,,40,28.63576,77.22445,IN,India,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,280,146,3,en,http://www.twitter.com/abumushir2013/status/1105362130058924037,TRUE,@Vakeel_Sb,@Vakeel_Sb,#SurfExcel,,,,0.0,1.0,0.0,0.0
1105362100946391040 ,2019-03-12,06:57,Shubham bhardwaj,blueinthewild,"I value myself,coz it makes me value my words,thoughts,dreams,love,opinion,friends,family&everything associated to me. Btw love ghazals,literature,photography.",RT @varsha_bhushan: @timesofindia @timesofindia  be precise it faced backlash only from Bhakhts. The general public finds this ad beautiful…,,77,28.654,77.229,IN,New Delhi,http://pbs.twimg.com/profile_images/726484694703824896/O39eZVTI_normal.jpg,77,95,2,en,http://www.twitter.com/blueinthewild/status/1105362100946391040,TRUE,@varsha_bhushan,"@varsha_bhushan,@timesofindia,@timesofindia",,,,,0.0,1.0,0.0,0.0
1105362073947500544 ,2019-03-12,06:57,Rofl CakeDiplomacy,ccredited_,Anti BJP.But still on payroll of Modi ji??.Parody Godwani?,"RT @Vishj05: RT if you find this ad beautiful and people boycotting #SurfExcel over this, disgusting. https://t.co/z42h1ZG1Fy",,688,,,,,http://pbs.twimg.com/profile_images/1104434191045922821/_ITqPg5v_normal.jpg,196,851,1,en,http://www.twitter.com/ccredited_/status/1105362073947500544,TRUE,@Vishj05,@Vishj05,#SurfExcel,,http://pbs.twimg.com/media/D1TP76nWsAEM5SH.jpg,,0.272,0.569,0.159,-0.4215
1105362073939132416 ,2019-03-12,06:57,??@#€$#,mahi_614,#common man,"RT @tijare_pratik: Bina #SurfExcel k dhoya hai bhai..??
 EXCELlent as always @kunalkamra88 ????

#DemonetisationYaadRakhna https://t.co/PeuoDL…",,497,17.50427,78.54263,IN,"Secunderabad, Hyderabad",http://pbs.twimg.com/profile_images/1100832390811869184/VBqk6i9p_normal.jpg,24,177,,en,http://www.twitter.com/mahi_614/status/1105362073939132416,TRUE,@tijare_pratik,"@tijare_pratik,@kunalkamra88","#SurfExcel,#DemonetisationYaadRakhna",,,,0.0,0.778,0.222,0.5719
